"Product Name","Link",
"Dyson Pure Cool Link Tower WiFi-Enabled Air Purifier, TP03 (White/Silver)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_kitchen_sr_pg16_1?ie=UTF8&adId=A07284451126A8YLN6781&url=%2FDyson-Tower-WiFi-Enabled-Purifier-Silver%2Fdp%2FB078RBFG6G%2Fref%3Dsr_1_241_sspa%3Fdchild%3D1%26qid%3D1592567453%26s%3Dkitchen%26sr%3D1-241-spons%26psc%3D1&qualifier=1592567453&id=8166004126283360&widgetName=sp_atf_browse"
"Dyson Pure Cool Air Purifier (Advanced Technology), Wi-fi & Bluetooth Enabled, Tower TP04 (Black/Nickel)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_kitchen_sr_pg16_2?ie=UTF8&adId=A078294511GJYOSZ5OKJV&url=%2FDyson-Purifier-Technology-Bluetooth-TP04%2Fdp%2FB07SLL1VK4%2Fref%3Dsr_1_242_sspa%3Fdchild%3D1%26qid%3D1592567453%26s%3Dkitchen%26sr%3D1-242-spons%26psc%3D1&qualifier=1592567453&id=8166004126283360&widgetName=sp_atf_browse"
"PranaVital HEPA Composite Filter, Black","/PranaVital-SMAP01-F-HEPA-Composite-Filter/dp/B07T97Z4HF/ref=sr_1_243?dchild=1&qid=1592567453&s=kitchen&sr=1-243"
"Livpure Chrome 40-Watt Air Purifier with Remote and Composite Filter (White)","/Livpure-Chrome-40-Watt-Purifier-Composite/dp/B07J4V1Q1K/ref=sr_1_244?dchild=1&qid=1592567453&s=kitchen&sr=1-244"
"BPL Limited AP-03 5-Watt Room Air Purifier (Black)","/BPL-Limited-AP-03-5-Watt-Purifier/dp/B074KGT1W4/ref=sr_1_245?dchild=1&qid=1592567453&s=kitchen&sr=1-245"
"Blueair 211 Air Purifier Filter (White)","/Blueair-211-Purifier-Filter-White/dp/B00ZSNZ1YY/ref=sr_1_246?dchild=1&qid=1592567453&s=kitchen&sr=1-246"
"Smart Air DIY Air Purifier (150 sq. Ft) (White)","/Smart-Air-DIY-Purifier-White/dp/B01CP55QXS/ref=sr_1_247?dchild=1&qid=1592567453&s=kitchen&sr=1-247"
"Airspa With Device Car Air Purifier With Hepa & Ioniser - Ce, Rohs & Iso 9001:2015 Certified","/Airspa-Car-Air-Purifier-Ioniser/dp/B01M3SN88M/ref=sr_1_248?dchild=1&qid=1592567453&s=kitchen&sr=1-248"
"Mann-Filter FC 301 Car Air Purifier (1000 g)","/Mann-Filter-FC-301-Purifier-1000/dp/B019OTZ9KS/ref=sr_1_249?dchild=1&qid=1592567453&s=kitchen&sr=1-249"
"Parkpure Atom Blue Air Purifier","/Parkpure-Atom-Blue-Air-Purifier/dp/B01J67B1SM/ref=sr_1_250?dchild=1&qid=1592567453&s=kitchen&sr=1-250"
"Coway Sleek Pro AP-1009 Air Purifier (Pre Filter, Patented Urethane Carbon Filter & Green Anti-flu True HEPA Filter) (Coway AP-1009)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_kitchen_sr_pg16_1?ie=UTF8&adId=A0103506WOS8F4SW7N0G&url=%2FCoway-Sleek-Pro-AP-1009-Purifier%2Fdp%2FB07JZ94F9C%2Fref%3Dsr_1_251_sspa%3Fdchild%3D1%26qid%3D1592567453%26s%3Dkitchen%26sr%3D1-251-spons%26psc%3D1&qualifier=1592567453&id=8166004126283360&widgetName=sp_mtf_browse"
"Sharp Air Purifier for Homes & Offices | Dual Purification - ACTIVE (Plasmacluster Technology) & PASSIVE FILTERS (True HEPA H14+Carbon+Pre-Filter) | Captures 99.97% of Impurities | Model:FP-F40E-W | White","/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_kitchen_sr_pg16_2?ie=UTF8&adId=A0910547J0ZYC5KQF7EY&url=%2FSharp-Purifier-FP-F40E-W-Filter-Cluster%2Fdp%2FB01B0DT29A%2Fref%3Dsr_1_252_sspa%3Fdchild%3D1%26qid%3D1592567453%26s%3Dkitchen%26sr%3D1-252-spons%26psc%3D1&qualifier=1592567453&id=8166004126283360&widgetName=sp_mtf_browse"
"PranaVital Prana180 Home Air purfier","/PranaVital-Prana180-Home-Air-purfier/dp/B07Y6CS636/ref=sr_1_253?dchild=1&qid=1592567453&s=kitchen&sr=1-253"
"Ozonizer Fruit And Vegetable Cleaner Air Purifier Machine Remover Pesticide Toxin","/Ozonizer-Vegetable-Cleaner-Purifier-Pesticide/dp/B07Q171LST/ref=sr_1_254?dchild=1&qid=1592567453&s=kitchen&sr=1-254"
"The Sqair – Chemical Warfare","/Smart-Air-The-Sqair-Chemical/dp/B07Y9WJ54C/ref=sr_1_255?dchild=1&qid=1592567453&s=kitchen&sr=1-255"
