"Product Name","Link",
"Dyson Pure Cool Link Tower WiFi-Enabled Air Purifier, TP03 (White/Silver)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_kitchen_sr_pg15_1?ie=UTF8&adId=A07284451126A8YLN6781&url=%2FDyson-Tower-WiFi-Enabled-Purifier-Silver%2Fdp%2FB078RBFG6G%2Fref%3Dsr_1_225_sspa%3Fdchild%3D1%26qid%3D1592567301%26s%3Dkitchen%26sr%3D1-225-spons%26psc%3D1&qualifier=1592567300&id=8976066324833395&widgetName=sp_atf_browse"
"Dyson Pure Cool Air Purifier (Advanced Technology), Wi-fi & Bluetooth Enabled, Tower TP04 (Black/Nickel)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_kitchen_sr_pg15_2?ie=UTF8&adId=A078294511GJYOSZ5OKJV&url=%2FDyson-Purifier-Technology-Bluetooth-TP04%2Fdp%2FB07SLL1VK4%2Fref%3Dsr_1_226_sspa%3Fdchild%3D1%26qid%3D1592567301%26s%3Dkitchen%26sr%3D1-226-spons%26psc%3D1&qualifier=1592567300&id=8976066324833395&widgetName=sp_atf_browse"
"Daikin Air Purifier Streamer","/Daikin-MC70MVM6-Air-Purifier-Streamer/dp/B00URODJRU/ref=sr_1_227?dchild=1&qid=1592567301&s=kitchen&sr=1-227"
"Philips AC4072 38-Watt Air Purifier (White)","/Philips-AC4072-38-Watt-Purifier-White/dp/B00MILS3GC/ref=sr_1_228?dchild=1&qid=1592567301&s=kitchen&sr=1-228"
"Philips GoPure Slimline 230 Car Air Purifier (Dark Grey)","/Philips-GoPure-Slimline-Purifier-Dark/dp/B0733C1TNZ/ref=sr_1_229?dchild=1&qid=1592567301&s=kitchen&sr=1-229"
"Antique Buyer Car Humidifier Air Purifier Freshener with Dual USB Port (Multicolor)","/Antique-Buyer-Humidifier-Freshener-Multicolor/dp/B07JK5Q551/ref=sr_1_230?dchild=1&qid=1592567301&s=kitchen&sr=1-230"
"Crusaders Ozonator Refrigerator Purifier","/Crusaders-CRUS-REF-Ozo-XJ-110-Ozonator-Refrigerator-Purifier/dp/B00IUKNWRA/ref=sr_1_231?dchild=1&qid=1592567301&s=kitchen&sr=1-231"
"Honelife Rechargeable UV Sterilizer Light Air Purifier DC5V Ultraviolet + Ozone UV Germicidal Lamp Portable Sterilization Light for Car Kitchen Toilet Cabinet Black","/Honelife-Rechargeable-Sterilizer-Ultraviolet-Sterilization/dp/B0899KLC1G/ref=sr_1_232?dchild=1&qid=1592567301&s=kitchen&sr=1-232"
"Eureka Forbes Dr.Aeroguard SCPR 300 Air Purifier(Sleek & Portable with HEPA Filter, Activated Carbon Filter & 9-Stage Filtration)","/Eureka-Forbes-Dr-Aeroguard-SCPR-300/dp/B0755H72MT/ref=sr_1_233?dchild=1&qid=1592567301&s=kitchen&sr=1-233"
"Elofic EAP-9903 Car Air Purifier for Raahe","/Elofic-EAP-9903-Car-Purifier-Raahe/dp/B07KYTL5XX/ref=sr_1_234?dchild=1&qid=1592567301&s=kitchen&sr=1-234"
"Coway Sleek Pro AP-1009 Air Purifier (Pre Filter, Patented Urethane Carbon Filter & Green Anti-flu True HEPA Filter) (Coway AP-1009)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_kitchen_sr_pg15_1?ie=UTF8&adId=A0103506WOS8F4SW7N0G&url=%2FCoway-Sleek-Pro-AP-1009-Purifier%2Fdp%2FB07JZ94F9C%2Fref%3Dsr_1_235_sspa%3Fdchild%3D1%26qid%3D1592567301%26s%3Dkitchen%26sr%3D1-235-spons%26psc%3D1&qualifier=1592567300&id=8976066324833395&widgetName=sp_mtf_browse"
"Sharp Air Purifier for Homes & Offices | Dual Purification - ACTIVE (Plasmacluster Technology) & PASSIVE FILTERS (True HEPA H14+Carbon+Pre-Filter) | Captures 99.97% of Impurities | Model:FP-F40E-W | White","/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_kitchen_sr_pg15_2?ie=UTF8&adId=A0910547J0ZYC5KQF7EY&url=%2FSharp-Purifier-FP-F40E-W-Filter-Cluster%2Fdp%2FB01B0DT29A%2Fref%3Dsr_1_236_sspa%3Fdchild%3D1%26qid%3D1592567301%26s%3Dkitchen%26sr%3D1-236-spons%26psc%3D1&qualifier=1592567300&id=8976066324833395&widgetName=sp_mtf_browse"
"Blueair Blue Pure 121 220-Watt Air Purifier (White)","/Blueair-121-220-Watt-Purifier-White/dp/B01N6N4503/ref=sr_1_237?dchild=1&qid=1592567301&s=kitchen&sr=1-237"
"Nirgandha Breathable Fabric Activated Charcoal Bag (Nirgandha03) - Pack of 3","/Nirgandha-Breathable-Activated-Charcoal-Nirgandha03/dp/B07QXSSTJR/ref=sr_1_238?dchild=1&qid=1592567301&s=kitchen&sr=1-238"
"Amigos Store™ Room Office Home Electric Air Purifier Humidifier Aroma Diffuser Room Freshner","/AMIGOS-Electric-Purifier-Humidifier-Diffuser/dp/B07JDQB82D/ref=sr_1_239?dchild=1&qid=1592567301&s=kitchen&sr=1-239"
"Autofy Universal Compact Box shaped Three Stage Air Purifier with built-in Ionizer for All Cars (Black and Silver)","/Autofy-Universal-Compact-Purifier-Ionizer/dp/B07BTCR4GV/ref=sr_1_240?dchild=1&qid=1592567301&s=kitchen&sr=1-240"
"Newtronics Room Office Home Electric Air Purifier Humidifier Aroma Diffuser Room Freshner with LED Light- Pink","/Newtronics-Electric-Purifier-Humidifier-Diffuser/dp/B01LGR9GQ4/ref=sr_1_241?dchild=1&qid=1592567301&s=kitchen&sr=1-241"
"HUMYDRY AIR FRESHNER for Fridge","/HUMYDRY-AIR-FRESHNER-FOR-FRIDGE/dp/B009QXXLVC/ref=sr_1_242?dchild=1&qid=1592567301&s=kitchen&sr=1-242"
"Air Purifier, Portable Ozone Generator for 200 Sq Household&Office, Quiet Mini Air Purifier With USB Cable(5V, Blue)","/Purifier-Portable-Generator-Household-Office/dp/B0867WY84Q/ref=sr_1_243?dchild=1&qid=1592567301&s=kitchen&sr=1-243"
"Livpure Chrome 40-Watt Air Purifier with Remote and Composite Filter (White)","/Livpure-Chrome-40-Watt-Purifier-Composite/dp/B07J4V1Q1K/ref=sr_1_244?dchild=1&qid=1592567301&s=kitchen&sr=1-244"
"TruSens Z-3000 Air Purifier | Remote SensorPod | 360 HEPA Filtration with Dupont Filter | UV Light Sterilization Kills Bacteria Germs Odor Allergens in Home | Dual Airflow for Full Coverage (Large)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_browse_kitchen_sr_pg15_1?ie=UTF8&adId=A10270163VKRZ9Z7VD3QO&url=%2FTruSens-SensorPod-Filtration-Sterilization-Allergens%2Fdp%2FB07W3NJ8X8%2Fref%3Dsr_1_245_sspa%3Fdchild%3D1%26qid%3D1592567301%26s%3Dkitchen%26sr%3D1-245-spons%26psc%3D1&qualifier=1592567300&id=8976066324833395&widgetName=sp_btf_browse"
"TruSens Z-1000 Air Purifier | 360 HEPA Filtration with Dupont Filter | UV Light Sterilization Kills Bacteria Germs Odor Allergens in Home | Dual Airflow for Full Coverage (Small)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_browse_kitchen_sr_pg15_2?ie=UTF8&adId=A0615935EHSOAIPFR57U&url=%2FTruSens-Purifier-Filtration-Sterilization-Allergens%2Fdp%2FB07T91STDY%2Fref%3Dsr_1_246_sspa%3Fdchild%3D1%26qid%3D1592567301%26s%3Dkitchen%26sr%3D1-246-spons%26psc%3D1&qualifier=1592567300&id=8976066324833395&widgetName=sp_btf_browse"
